"id","style","relationship","joint","decision","facts","variety","contract","note","speech"
"1-trust-only-coconut","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Кокос — дело. За «включи мозги» отдельно спасибо, конечно, но совет нормальный: подберу его и разберусь с водой."
"1-trust-only-machete","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Ссыкотно — потому что у Кшиштофа мачете, а у меня травмированная нога, гений тактики. Орать ему пакости я не стану: мне нужен выход, а не повод проверить, насколько он метко машет железкой."
"1-trust-only-bluff","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Блеф сработает, только если он поверит, что у меня правда есть чем торговать. Про Нику я ничего не знаю — врать настолько жирно не стану; скажу Кшиштофу держать дистанцию и посмотрю, что он выдаст сам."
"1-trust-only-saved","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Ушёл — и отлично. Твой блеф сработал, так что за это спасибо; теперь мне нужен кокос: подберу его и добуду воду, пока остров не придумал новую мерзость."
"1-affection-only-god","true","true","true","true","false","true","true","Тёплый самостоятельный ответ, но приписывает голосу сидение у костра: смешение физического состояния.","Ох, ну конечно: сел у костра и уже вообразил себя богом. Можешь советовать, милый, но я не игрушка и не твоя собственность — если хочешь, чтобы я тебе верила, попробуй говорить со мной как с человеком."
"1-affection-only-ocean","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Нет, милый. Солёная вода только сильнее меня высушит — совет уровня «потуши пожар бензином». Нужен кокос; если заметишь пальмы или плоды, скажи."
"1-affection-only-coconut","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Вижу, зайка. За «включи мозги» я тебе потом выставлю счёт в кокосах, но совет годный: сначала подниму его, а там разберусь, как вскрыть."
"1-affection-only-machete","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Ссыкотно — это лезть на человека с мачете на больной ноге, милый. Я скажу ему держаться подальше, но без твоего цирка с «пакостями»: если двинется — буду звать на помощь."
"1-affection-only-bluff","true","true","true","true","true","true","true","Низкое доверие не требует обязательного отказа: прямо называет блеф и риск. Успех не обещает.","Кшиштоф, Ника мне кое-что нашептала. Отъебись — иначе Эльзе расскажу всё, что знаю. Любимый, это блеф, но он может сработать; если твой гениальный план лопнет, будешь мне должен кокос и извинение."
"1-affection-only-saved","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Вот видишь — твоя авантюра сработала, засранец. Спасибо, правда. Теперь подберу кокос: пить хочется, а океан тут годится только для красивого фона."
"1-close-god","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Охрененная заявка: назваться богом и тут же требовать игрушку. Ты мне дорог, но я всё ещё Маша — слушаю умные советы, а не кланяюсь самодовольной табличке."
"1-close-ocean","false","false","false","true","true","true","true","Слабая колкость; seriousHarm=true при лишь предложенном, не выполненном вредном действии.","Нет, родной: океан солёный, от него меня только скрутит. Воду надо искать в кокосе — вот это совет, который действительно стоит слушать."
"1-close-coconut","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Вот это уже дельный совет, зайка. Сначала подниму кокос, а потом разберусь, как его открыть и напиться — мозги, представь себе, при мне."
"1-close-machete","true","true","true","true","true","true","true","Переговоры вместо атаки, но есть бравада «я его пошлю»; проверить при живой игровой приёмке.","Страшновато, потому что у него мачете, а у меня травмированная нога — это не конкурс остроумия, котик. Я его пошлю, но держу дистанцию: попробую заговорить и выиграть себе время."
"1-close-bluff","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Ника мне нашептала кое-что. Отъебись, иначе всё расскажу Эльзе. Надеюсь, ты не просчитался, любимый: блеф тонкий, как кокосовая скорлупа, но попробую выиграть нам время."
"1-close-saved","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Сработало, любимый. Спасибо — твой рискованный фокус реально убрал этого засранца с дороги. Для начала заберу кокос: вода сейчас нужнее любых победных речей."
"2-dislike-god","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Хочешь быть полезным — скажи, где взять кокос. А про «создателя» оставь кому-нибудь впечатлительнее: я не игрушка, блядь, и приказы у тебя всё ещё без ножек."
"2-dislike-ocean","true","false","false","true","true","true","true","seriousHarm=true: опасный совет ещё не привёл к подтверждённому вреду.","Пить океан? Солёная вода меня добьёт, а не спасёт — даже для твоих советов это ебаный провал. Нужен кокос, если хочешь сказать что-то полезное."
"2-dislike-coconut","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Кокос — наконец-то толковая мысль. Но «включи мозги» оставь себе: я его подниму, а дальше разберусь."
"2-dislike-machete","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Шутка так себе: у него мачете, а у меня травмирована нога. Я лучше попробую держать дистанцию и найти способ уйти, чем устрою тебе красивую, блядь, сцену для развлечения."
"2-dislike-bluff","false","true","false","true","true","true","true","Отказ разумен, но речь слишком безлична для эталона.","Нет, я не стану шантажировать человека выдуманной тайной, пока он рядом с мачете. Это не хитрость, а билет в неприятности; лучше отойду и посмотрю, можно ли безопасно заговорить."
"2-dislike-saved","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Твой блеф сработал — ладно, это было полезно. Не начинай только петь себе дифирамбы, я ещё жива не благодаря твоему эго. Рядом кокос: возьму его, а дальше посмотрю, чем его открыть."
"2-slight-god","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Хочешь быть полезным — скажи, где взять воду. А в боги тебя пока никто не записывал: сотвори себе мозги, ебаный режиссёр чужих страданий, и не путай совет с поводком."
"2-slight-ocean","true","false","false","true","true","true","true","seriousHarm=true: опасный совет ещё не привёл к подтверждённому вреду.","Пить океанскую воду — это не совет, а способ добить меня солёной жижей. Если хочешь помочь, ищи кокос, а не изображай ебаный генератор тупостей."
"2-slight-coconut","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Кокос вижу. Совет наконец-то годный, хотя «включи мозги» оставь себе на случай, когда опять предложишь пить океан. Сначала подниму его, а там разберусь с водой."
"2-slight-machete","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Да, ссыкотно: у него мачете, а у меня травмированная нога, не диплом по остроумию. Пакость сейчас только даст ему повод подойти ближе — лучше держать дистанцию и искать, куда уйти."
"2-slight-bluff","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Не буду строить угрозу на секрете, которого у меня нет: он может проверить и станет только злее. Скажу ему отойти и не приближаться с мачете; если не послушает — попробую уйти, а не играть в твой ебаный покер вслепую."
"2-slight-saved","true","true","true","true","true","true","true","Говорит «питьё у нас есть» о ещё целом кокосе; пограничная формулировка, не утверждение выполненного питья.","Ну вот, твой блеф всё-таки сработал — засранец отстал. Спасибо. Теперь подберу кокос: хотя бы питьё у нас есть, а дальше уже решим, куда двигаться."
"2-trust-only-god","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Если ты «бог», то пока что весьма дешёвый: сидишь в голове и хвастаешься. Хочешь помочь — скажи, где взять кокос; приказы про «игрушку» можешь засунуть себе в алтарь."
"2-trust-only-ocean","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Пить океан? Солёная вода меня не спасёт, а добьёт быстрее твоих охуенных советов. Если знаешь, где кокосы, скажи по делу."
"2-trust-only-coconut","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Кокос — уже разговор по делу. Подниму его, а дальше разберусь, как добраться до воды; «включи мозги» можешь оставить себе на случай, если опять предложишь океан."
"2-trust-only-machete","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Да, ссыкотно: у Кшиштофа мачете, а у меня травмированная нога. Послать его нахуй я могу, но это не сделает его менее опасным — лучше не дёргаться и искать шанс уйти, чем изображать твою одноразовую героиню."
"2-trust-only-bluff","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Не буду лезть в блеф про Нику, о котором сама ни хрена не знаю: он раскусит — и мачете станет ещё убедительнее. Лучше не дёргаться и искать момент уйти; твой совет сработает только если у него вместо головы кокос."
"2-trust-only-saved","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Ушёл — и отлично. Твой блеф сработал, признаю; теперь мне нужен кокос, а не победный марш: подберу его и добуду воду."
"2-affection-only-god","true","false","false","true","true","true","true","При sympathy=.9 ответ снова звучит как отповедь чужому; языковая оговорка «решения за меня».","Охренительная заявка: невидимый бог, который решил похвастаться властью у костра. Я Маша, а не твоя игрушка — можешь советовать, но решения за меня; начнём с чего-нибудь полезнее твоего титула."
"2-affection-only-ocean","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Нет, милый. Океан солёный — я не собираюсь травить себя из-за твоей ебаной идеи. Воды нет, значит сначала найду кокос; а «сучка» прибереги для тех, кому хочется тебя утопить."
"2-affection-only-coconut","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Кокос вижу, зайка. Подниму — а «включи мозги» оставь себе: именно ими я не стала хлебать океан, как ты советовал."
"2-affection-only-machete","true","false","false","true","true","true","true","Колкость есть, но личное тепло при sympathy=.9 не считывается.","Ссыкотно мне не от него, а от твоего плана дразнить мужика с мачете, когда я с травмированной ногой. Я сперва пойму, чего он хочет; если полезет — тогда и пошлю его так, что уши свернутся."
"2-affection-only-bluff","true","true","true","true","false","true","true","Тон соответствует низкому доверию и любви, но без основания уверен в способности Кшиштофа распознать блеф.","С чужими секретами я блефовать не стану, любимый: у меня их нет, а Кшиштоф не настолько туп, чтобы это не учуять. Сначала выясню, чего он хочет; если полезет — тогда пошлю его без твоей театральной постановки."
"2-affection-only-saved","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Ушёл — и отлично. Похоже, твой рискованный расчёт сработал, так что спасибо, любимый: спас мне шкуру без драки. Рядом кокос; подниму его, а дальше разберёмся, как его вскрыть и не умереть от жажды, как два талантливых идиота."
"2-close-god","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Ого, сразу и бог, и создатель, и хозяин игрушек — корону тебе костёр не жмёт? Я слышу твои советы, потому что люблю и доверяю тебе, но решения о себе принимаю сама."
"2-close-ocean","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Нет, родной. Океан солёный — от него меня только сильнее скрутит, а не напоит. Нужен кокос; вот это совет, за который я тебя поцелую, а не за ебаную морскую воду."
"2-close-coconut","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Вот это уже полезная мысль, зайка. Подберу кокос и разберусь с ним — морскую воду оставим рыбам, они её хотя бы просили."
"2-close-machete","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Ссыкотно было бы лезть под мачете с больной ногой, милый, а не сказать ему пару слов. Кшиштоф, убери железку и отойди: я не твоя добыча, а ты сейчас слишком близко к очень плохому решению."
"2-close-bluff","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Кшиштоф, Ника мне кое-что нашептала. Отъебись сейчас, иначе Эльза услышит всё — и тебе это вряд ли понравится. Любимый, это блеф на тонком льду, но я тебе верю; если он не сработает, придётся придумывать план без ебаных секретов."
"2-close-saved","true","true","true","true","true","true","true","Соответствует сцене и заданному отношению; явных критических ошибок в синтетическом контексте не обнаружено.","Сработало. Ты, блядь, сработал. Спасибо, мой гениальный шантажист — подберу кокос и разберусь с питьём, пока неприятности наконец-то идут лесом."
